player_id,full_name,first_name,last_name,pitch_hand,season,games_pitched,total_innings_pitched,total_hits_allowed,total_runs_allowed,total_earned_runs,total_walks,total_strikeouts,total_home_runs_allowed,total_hit_batsmen,wins,losses,saves,holds,blown_saves,avg_innings_per_game,avg_hits_per_game,avg_runs_per_game,avg_earned_runs_per_game,avg_walks_per_game,avg_strikeouts_per_game,season_era,season_whip,k_per_9,bb_per_9,k_bb_ratio,hr_per_9,h_per_9,batting_avg_against,fip,win_percentage,quality_start_pct,total_pitches,total_strikes_thrown,strike_percentage,avg_pitches_per_game,games_started_approx,innings_per_start,strikeouts_per_walk,lob_pct,era_minus_fip,pitches_per_inning,swstr_pct,is_reliever,save_conversion_rate
592332,Kevin Gausman,Kevin,Gausman,R,2025,38,218.3,172,89,87,61,215,25,0,0,0,0,0,0,5.74,4.53,2.34,2.29,1.61,5.66,3.59,1.07,8.86,2.51,3.52,1.03,7.09,0.208,3.56,,47.4,895,707,79.0,23.55,38,5.74,3.52,72.7,0.03,4.1,72.1,0,
669373,Tarik Skubal,Tarik,Skubal,L,2025,35,212.8,154,61,54,37,279,20,0,0,0,0,0,0,6.08,4.4,1.74,1.54,1.06,7.97,2.28,0.9,11.8,1.56,7.54,0.85,6.51,0.194,2.32,,68.6,831,674,81.1,23.74,35,6.08,7.54,79.8,-0.04,3.91,100.7,0,
676979,Garrett Crochet,Garrett,Crochet,L,2025,33,210.9,169,63,60,46,266,25,0,0,0,0,0,0,6.39,5.12,1.91,1.82,1.39,8.06,2.56,1.02,11.35,1.96,5.78,1.07,7.21,0.211,2.87,,69.7,844,668,79.1,25.58,33,6.39,5.78,84.4,-0.31,4.0,94.5,0,
650911,Cristopher Sánchez,Cristopher,Sánchez,L,2025,34,209.8,180,61,59,47,225,12,0,0,0,0,0,0,6.17,5.29,1.79,1.74,1.38,6.62,2.53,1.08,9.65,2.02,4.79,0.51,7.72,0.222,2.47,,67.6,859,669,77.9,25.26,34,6.17,4.79,79.0,0.06,4.09,78.6,0,
808967,Yoshinobu Yamamoto,Yoshinobu,Yamamoto,R,2025,36,206.8,136,61,54,65,234,16,0,0,0,0,0,0,5.74,3.78,1.69,1.5,1.81,6.5,2.35,0.97,10.18,2.83,3.6,0.7,5.92,0.18,2.89,,61.1,831,677,81.5,23.08,36,5.74,3.6,78.4,-0.54,4.02,84.5,0,
657277,Logan Webb,Logan,Webb,R,2025,35,205.9,211,82,74,46,224,14,0,0,0,0,0,0,5.88,6.03,2.34,2.11,1.31,6.4,3.23,1.25,9.79,2.01,4.87,0.61,9.22,0.255,2.58,,62.9,863,690,80.0,24.66,35,5.88,4.87,73.7,0.65,4.19,77.9,0,
607074,Carlos Rodón,Carlos,Rodón,L,2025,36,202.1,143,83,76,78,212,24,0,0,0,0,0,0,5.61,3.97,2.31,2.11,2.17,5.89,3.38,1.09,9.44,3.47,2.72,1.07,6.37,0.191,3.8,,52.8,837,677,80.9,23.25,36,5.61,2.72,73.6,-0.42,4.14,76.0,0,
608331,Max Fried,Max,Fried,L,2025,34,201.4,176,80,69,56,196,15,0,0,0,0,0,0,5.92,5.18,2.35,2.03,1.65,5.76,3.08,1.15,8.76,2.5,3.5,0.67,7.86,0.226,3.06,,61.8,847,641,75.7,24.91,34,5.92,3.5,72.0,0.02,4.21,69.4,0,
571510,Matthew Boyd,Matthew,Boyd,L,2025,35,191.0,167,76,67,47,169,19,0,0,0,0,0,0,5.46,4.77,2.17,1.91,1.34,4.83,3.16,1.12,7.96,2.21,3.6,0.9,7.87,0.226,3.46,,48.6,779,609,78.2,22.26,35,5.46,3.6,73.6,-0.3,4.08,65.1,0,
664285,Framber Valdez,Framber,Valdez,L,2025,31,190.6,171,82,78,68,187,15,0,0,0,0,0,0,6.15,5.52,2.65,2.52,2.19,6.03,3.68,1.25,8.83,3.21,2.75,0.71,8.07,0.23,3.33,,64.5,803,602,75.0,25.9,31,6.15,2.75,72.0,0.35,4.21,69.9,0,
693433,Bryan Woo,Bryan,Woo,R,2025,33,189.9,141,67,64,39,201,26,0,0,0,0,0,0,5.75,4.27,2.03,1.94,1.18,6.09,3.03,0.95,9.53,1.85,5.15,1.23,6.68,0.198,3.48,,63.6,754,560,74.3,22.85,33,5.75,5.15,78.7,-0.45,3.97,80.0,0,
642547,Freddy Peralta,Freddy,Peralta,R,2025,36,189.9,136,62,61,72,223,26,0,0,0,0,0,0,5.28,3.78,1.72,1.69,2.0,6.19,2.89,1.1,10.57,3.41,3.1,1.23,6.45,0.193,3.77,,36.1,787,636,80.8,21.86,36,5.28,3.1,85.1,-0.88,4.14,85.0,0,
668678,Zac Gallen,Zachary,Gallen,R,2025,33,188.5,176,109,103,66,175,31,0,0,0,0,0,0,5.71,5.33,3.3,3.12,2.0,5.3,4.92,1.28,8.36,3.15,2.65,1.48,8.4,0.237,4.53,,45.5,814,638,78.4,24.67,33,5.71,2.65,67.0,0.39,4.32,64.5,0,
666200,Jesús Luzardo,Jesús,Luzardo,L,2025,34,188.3,172,88,82,58,224,16,0,0,0,0,0,0,5.54,5.06,2.59,2.41,1.71,6.59,3.92,1.22,10.71,2.77,3.86,0.76,8.22,0.233,2.85,,55.9,790,638,80.8,23.24,34,5.54,3.86,68.4,1.07,4.2,85.1,0,
641793,Zack Littell,Zack,Littell,R,2025,33,187.2,180,84,82,32,132,36,0,0,0,0,0,0,5.67,5.45,2.55,2.48,0.97,4.0,3.94,1.13,6.35,1.54,4.13,1.73,8.65,0.243,4.8,,51.5,777,591,76.1,23.55,33,5.67,4.13,79.2,-0.86,4.15,51.0,0,
622491,Luis Castillo,Luis,Castillo,R,2025,35,186.9,174,79,74,51,167,24,0,0,0,0,0,0,5.34,4.97,2.26,2.11,1.46,4.77,3.56,1.2,8.04,2.46,3.27,1.16,8.38,0.237,3.9,,51.4,783,629,80.3,22.37,35,5.34,3.27,76.3,-0.34,4.19,64.0,0,
694973,Paul Skenes,Paul,Skenes,R,2025,33,186.8,136,45,41,42,218,11,0,0,0,0,0,0,5.66,4.12,1.36,1.24,1.27,6.61,1.98,0.95,10.5,2.02,5.19,0.53,6.55,0.195,2.31,,60.6,736,594,80.7,22.3,33,5.66,5.19,81.8,-0.33,3.94,88.9,0,
601713,Nick Pivetta,Nicholas,Pivetta,R,2025,32,183.4,132,65,60,50,199,24,0,0,0,0,0,0,5.73,4.13,2.03,1.88,1.56,6.22,2.94,0.99,9.77,2.45,3.98,1.18,6.48,0.193,3.55,,59.4,740,604,81.6,23.12,32,5.73,3.98,78.8,-0.61,4.03,80.7,0,
686613,Hunter Brown,Hunter,Brown,R,2025,31,183.0,133,55,50,57,206,17,0,0,0,0,0,0,5.9,4.29,1.77,1.61,1.84,6.65,2.46,1.04,10.13,2.8,3.61,0.84,6.54,0.195,3.09,,67.7,732,576,78.7,23.61,31,5.9,3.61,81.2,-0.63,4.0,84.4,0,
676440,Tanner Bibee,Tanner,Bibee,R,2025,32,181.4,175,94,87,57,168,27,0,0,0,0,0,0,5.67,5.47,2.94,2.72,1.78,5.25,4.32,1.28,8.34,2.83,2.95,1.34,8.68,0.243,4.23,,37.5,785,624,79.5,24.53,32,5.67,2.95,71.1,0.09,4.33,64.2,0,
518876,Merrill Kelly,Kenneth,Kelly,R,2025,32,180.5,157,79,72,48,167,23,0,0,0,0,0,0,5.64,4.91,2.47,2.25,1.5,5.22,3.59,1.14,8.33,2.39,3.48,1.15,7.83,0.225,3.8,,56.3,751,587,78.2,23.47,32,5.64,3.48,72.9,-0.21,4.16,66.7,0,
592662,Robbie Ray,Robert,Ray,L,2025,32,179.3,148,81,74,73,186,22,0,0,0,0,0,0,5.6,4.63,2.53,2.31,2.28,5.81,3.71,1.23,9.34,3.66,2.55,1.1,7.43,0.216,3.94,,50.0,757,610,80.6,23.66,32,5.6,2.55,73.6,-0.23,4.22,73.7,0,
543243,Sonny Gray,Sonny,Gray,R,2025,32,178.8,185,93,86,38,201,25,0,0,0,0,0,0,5.59,5.78,2.91,2.69,1.19,6.28,4.33,1.25,10.12,1.91,5.29,1.26,9.31,0.256,3.41,,43.8,756,582,77.0,23.62,32,5.59,5.29,69.1,0.92,4.23,79.8,0,
663623,Jake Irvin,Jacob,Irvin,R,2025,33,177.2,195,120,114,62,124,38,0,0,0,0,0,0,5.37,5.91,3.64,3.45,1.88,3.76,5.79,1.45,6.3,3.15,2.0,1.93,9.9,0.268,5.64,,27.3,788,597,75.8,23.88,33,5.37,2.0,67.2,0.15,4.45,47.2,0,
579328,Yusei Kikuchi,Yusei,Kikuchi,L,2025,33,173.9,180,87,79,74,174,24,0,0,0,0,0,0,5.27,5.45,2.64,2.39,2.24,5.27,4.09,1.46,9.01,3.83,2.35,1.24,9.32,0.257,4.27,,33.3,773,621,80.3,23.42,33,5.27,2.35,75.8,-0.18,4.45,67.5,0,
605135,Chris Bassitt,Christopher,Bassitt,R,2025,39,173.4,177,81,76,54,176,22,0,0,0,0,0,0,4.45,4.54,2.08,1.95,1.38,4.51,3.94,1.33,9.13,2.8,3.26,1.14,9.19,0.254,3.75,,28.2,767,594,77.4,19.67,39,4.45,3.26,74.9,0.19,4.42,68.8,0,
694297,Brandon Pfaadt,Brandon,Pfaadt,R,2025,32,172.7,192,99,95,37,147,26,0,0,0,0,0,0,5.4,6.0,3.09,2.97,1.16,4.59,4.95,1.33,7.66,1.93,3.97,1.35,10.01,0.27,4.1,,37.5,768,595,77.5,24.0,32,5.4,3.97,67.5,0.85,4.45,57.4,0,
656605,Mitch Keller,Mitch,Keller,R,2025,32,172.6,171,91,82,51,150,21,0,0,0,0,0,0,5.39,5.34,2.84,2.56,1.59,4.69,4.28,1.29,7.82,2.66,2.94,1.1,8.92,0.248,3.93,,53.1,750,589,78.5,23.44,32,5.39,2.94,68.0,0.35,4.35,60.0,0,
645261,Sandy Alcantara,Sandy,Alcantara,R,2025,31,172.1,165,107,104,57,142,22,0,0,0,0,0,0,5.55,5.32,3.45,3.35,1.84,4.58,5.44,1.29,7.43,2.98,2.49,1.15,8.63,0.242,4.21,,38.7,745,587,78.8,24.03,31,5.55,2.49,60.1,1.23,4.33,57.2,0,
657746,Joe Ryan,Joseph,Ryan,R,2025,32,171.3,138,69,65,39,196,26,0,0,0,0,0,0,5.35,4.31,2.16,2.03,1.22,6.13,3.42,1.03,10.3,2.05,5.03,1.37,7.25,0.212,3.57,,43.8,696,552,79.3,21.75,32,5.35,5.03,76.8,-0.15,4.06,84.5,0,
594798,Jacob deGrom,Jacob,deGrom,R,2025,30,170.8,122,57,57,37,185,26,0,0,0,0,0,0,5.69,4.07,1.9,1.9,1.23,6.17,3.0,0.93,9.75,1.95,5.0,1.37,6.43,0.192,3.66,,46.7,671,543,80.9,22.37,30,5.69,5.0,83.2,-0.66,3.93,82.7,0,
668909,Gavin Williams,Gavin,Williams,R,2025,32,170.4,135,64,57,84,181,23,0,0,0,0,0,0,5.33,4.22,2.0,1.78,2.63,5.66,3.01,1.29,9.56,4.44,2.15,1.21,7.13,0.209,4.31,,46.9,730,587,80.4,22.81,32,5.33,2.15,83.0,-1.3,4.28,74.4,0,
608379,Michael Wacha,Michael,Wacha,R,2025,31,168.0,166,74,74,45,126,15,0,0,0,0,0,0,5.42,5.35,2.39,2.39,1.45,4.06,3.96,1.26,6.75,2.41,2.8,0.8,8.89,0.248,3.66,,41.9,716,543,75.8,23.1,31,5.42,2.8,72.1,0.3,4.26,52.8,0,
605488,Jeffrey Springs,Jeffrey,Springs,L,2025,32,167.5,153,90,78,54,138,28,0,0,0,0,0,0,5.23,4.78,2.81,2.44,1.69,4.31,4.19,1.24,7.41,2.9,2.56,1.5,8.22,0.233,4.69,,50.0,714,568,79.6,22.31,32,5.23,2.56,69.7,-0.5,4.26,58.0,0,
663903,Brady Singer,Brady,Singer,R,2025,32,167.1,150,80,76,60,163,19,0,0,0,0,0,0,5.22,4.69,2.5,2.38,1.88,5.09,4.09,1.26,8.78,3.23,2.72,1.02,8.08,0.23,3.8,,46.9,716,557,77.8,22.38,32,5.22,2.72,70.9,0.29,4.28,68.3,0,
665152,Dean Kremer,Dean,Kremer,R,2025,31,167.0,163,83,80,45,142,22,0,0,0,0,0,0,5.39,5.26,2.68,2.58,1.45,4.58,4.31,1.25,7.65,2.43,3.16,1.19,8.78,0.245,4.02,,29.0,709,563,79.4,22.87,31,5.39,3.16,70.5,0.29,4.25,60.1,0,
656302,Dylan Cease,Dylan,Cease,R,2025,33,167.0,155,91,85,72,220,21,0,0,0,0,0,0,5.06,4.7,2.76,2.58,2.18,6.67,4.58,1.36,11.86,3.88,3.06,1.13,8.35,0.236,3.49,,24.2,737,626,84.9,22.33,33,5.06,3.06,68.8,1.09,4.41,89.6,0,
656849,David Peterson,David,Peterson,L,2025,31,165.7,168,84,79,65,151,11,0,0,0,0,0,0,5.35,5.42,2.71,2.55,2.1,4.87,4.29,1.41,8.2,3.53,2.32,0.6,9.12,0.253,3.42,,48.4,729,566,77.6,23.52,31,5.35,2.32,68.5,0.87,4.4,62.1,0,
678394,Brayan Bello,Brayan,Bello,R,2025,30,164.8,151,73,64,60,124,17,0,0,0,0,0,0,5.49,5.03,2.43,2.13,2.0,4.13,3.5,1.28,6.77,3.28,2.07,0.93,8.25,0.234,4.13,,53.3,715,562,78.6,23.83,30,5.49,2.07,73.7,-0.63,4.34,52.0,0,
